ISBN10,avtor,naslov,cenaE,format,jezik,datum,ISBN13
0486499057,Pablo Garcia Loaeza,Easy Spanish Phrase Book : Over 700 Phrases for Everyday Use,"2,92",Paperback,English,30 Apr 2013,9780486499055
0486796647,Marjorie Sarnat,Creative Haven Owls Coloring Book,"4,17",Paperback,English,28 Aug 2015,9780486796642
0528015478,Rand McNally,"Road Atlas 2017 : United States, Canada, Mexico","17,30",Paperback,English,15 Apr 2016,9780528015472
0544336267,Lois Lowry,The Giver,"7,37",Paperback,English,19 Feb 2015,9780544336261
0544609719,Melissa Hartwig,The Whole30 : The 30-Day Guide to Total Health and Food Freedom,"31,45",Hardback,English,03 Jun 2015,9780544609716
0545392551,Giles Andreae,Giraffes Can&#039;t Dance,"6,66",Board,English,01 Mar 2012,9780545392556
0545795664,Cris Silvestri,Pokemon: Deluxe Essential Handbook,"10,91",Paperback,English,06 Aug 2015,9780545795661
0553386697,Daniel J Siegel,The Whole-Brain Child : 12 Revolutionary Strategies to Nurture Your Child&#039;s Developing Mind,"11,43",Paperback,English,11 Sep 2012,9780553386691
0618871713,Alison Bechdel,Fun Home : A Family Tragicomic,"12,29",Paperback,English,05 Jun 2007,9780618871711
0671027034,Dale Carnegie,How to Win Friends and Influence People,"12,76",Paperback,English,26 Oct 1998,9780671027032
0692400192,Harvard Law Review,"The Bluebook : A Uniform System of Citation, 20th Edition","54,73",Spiral,English,12 May 2015,9780692400197
0735214468,Ann H Coulter,In Trump We Trust : E Pluribus Awesome!,"17,40",Hardback,English,23 Aug 2016,9780735214460
0743273567,F. Scott Fitzgerald,The Great Gatsby,"10,70",Paperback,English,01 Oct 2004,9780743273565
0761169253,Austin Kleon,Steal Like an Artist : 10 Things Nobody Told You About Being Creative,"8,54",Paperback,English,01 May 2012,9780761169253
0761187480,Heidi Murkoff,What to Expect When You&#039;re Expecting,"17,48",Paperback,English,01 Jun 2016,9780761187486
0762447699,Jen Sincero,You are a Badass : How to Stop Doubting Your Greatness and Start Living an Awesome Life,"11,23",Paperback,English,09 May 2013,9780762447695
0770433367,Carley Roney,"The Knot Ultimate Wedding Planner &amp; Organizer [Binder Edition] : Worksheets, Checklists, Etiquette, Calendars, and Answers to Frequently Asked Questions","32,49",Hardback,English,01 Jan 2013,9780770433369
0804186839,Ali Maffucci,"Inspiralized : Turn Vegetables Into Healthy, Creative, Satisfying Meals","18,49",Paperback,English,24 Feb 2015,9780804186834
0812974492,Laura Hillenbrand,"Unbroken : A World War II Story of Survival, Resilience, and Redemption","13,99",Paperback,English,29 Jul 2014,9780812974492
